region,quarter,hpi,approvals,unemp_rate,emp_total,part_rate,emp_yoy_pct,cash_rate,income,wealth,q_dt,hpi_qoq,hpi_yoy,approvals_qoq,approvals_yoy,wealth_qoq,wealth_yoy,income_qoq,income_yoy
melbourne,2025Q1,,13928.0,4.4329835,3757.6092040333297,67.6769300333333,2.38041156555318,4.1,,,2025-03-31,0.0,0.17113116676588103,-8.235604163921462,23.529933481152998,0.0,0.0,0.0,0.0
melbourne,2025Q2,,12691.0,4.44633966666667,3777.06469346667,67.6566199666667,2.0072110075368,3.85,,,2025-06-30,0.0,0.0,-8.881390005743828,0.4432132963988922,0.0,0.0,0.0,0.0
melbourne,2025Q3,,14485.0,4.59188013333333,3805.43099973333,67.9330819333333,1.745368876429,3.6,,,2025-09-30,0.0,0.0,14.136001891103934,-1.2408808890707057,0.0,0.0,0.0,0.0
melbourne,2025Q4,,,,,,,,,,2025-12-31,0.0,0.0,0.0,-4.5658189484780625,0.0,0.0,0.0,0.0
sydney,2008Q1,106.2,7276.0,4.5130721,3392.13660583333,63.9236769333333,,7.125,1109.68,712.0,2008-03-31,,,,,,,,
sydney,2008Q2,106.6,8087.0,4.57272676666667,3409.58020903333,63.99299676666671,,,1109.68,712.0,2008-06-30,0.37664783427493465,,11.146234194612425,,0.0,,0.0,
sydney,2008Q3,104.6,6985.0,4.83085846666667,3397.98154003333,63.6778715666667,,7.0,1109.68,712.0,2008-09-30,-1.8761726078799223,,-13.626808458019045,,0.0,,0.0,
sydney,2008Q4,104.3,6642.0,5.3058796,3391.61707273333,63.5871887,,5.16666666666667,1109.68,712.0,2008-12-31,-0.2868068833651982,,-4.91052254831782,,0.0,,0.0,
sydney,2009Q1,101.3,4755.0,5.96402,3392.5561861,63.7547562,0.0123692031136046,3.25,1074.3,678.0,2009-03-31,-2.8763183125599223,-4.613935969868177,-28.410117434507676,-34.64815832875207,-4.7752808988763995,-4.7752808988763995,-3.1883065388220166,-3.1883065388220166
sydney,2009Q2,106.3,6515.0,6.26918693333333,3396.44343676667,63.7858882666667,-0.385290019922746,3.0,1074.3,678.0,2009-06-30,4.935834155972363,-0.2814258911819856,37.01366982124079,-19.438605168789415,0.0,-4.7752808988763995,0.0,-3.1883065388220166
sydney,2009Q3,110.8,7955.0,6.0865725,3401.6333635,63.5350439333333,0.107470373915874,,1074.3,678.0,2009-09-30,4.233301975540926,5.927342256214163,22.102839600920944,13.886900501073729,0.0,-4.7752808988763995,0.0,-3.1883065388220166
sydney,2009Q4,116.4,8907.0,5.8735833,3409.4879017,63.3047245333333,0.526911752813652,3.5,1074.3,678.0,2009-12-31,5.054151624548742,11.601150527325021,11.967316153362662,34.10117434507678,0.0,-4.7752808988763995,0.0,-3.1883065388220166
sydney,2010Q1,122.5,9086.0,5.58119996666667,3417.62860593333,63.0227936666667,0.739042139849011,4.0,1075.9,762.0,2010-03-31,5.240549828178698,20.927936821322813,2.0096553272706874,91.08307045215562,12.389380530973447,12.389380530973447,0.1489341897049412,0.1489341897049412
